Band,On Air ID,Area Served,Callsign,Frequency(kHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Maximum CMF (V),Transmitter Power (W),Technical Specification Number,Licence Number,Site Id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Hours of Operation,Status
AM,,Adelaide,,531,HPON,V,138,OD,,225,500,10010205,1170737,151010,5UV Tower site South Terrace WINGFIELD,54,278203,6142503,34 50 07S,138 34 28E,SA,,,,,Issued
AM,ABC Radio National,Adelaide,5RN,729,National,V,168,OD,,2525,50000,4052001,1198409,23234,Broadcast Site Sherriffs Road REYNELLA,54,273720,6112441,35 06 19S,138 31 02E,SA,,,,,Issued
AM,ABC Adelaide,Adelaide,5AN,891,National,V,168,OD,,2905,50000,4051001,1198410,23234,Broadcast Site Sherriffs Road REYNELLA,54,273720,6112441,35 06 19S,138 31 02E,SA,,,,,Issued
AM,ABC NewsRadio,Adelaide,5PB,972,National,V,141,OD,,605,2000,2217001,1198411,22338,Broadcasting site South Terrace WINGFIELD,54,277600,6142200,34 50 17S,138 34 04E,SA,,,,,Issued
AM,RPH Adelaide,Adelaide,5RPH,1197,Community,V,84,OD,,455,2000,5272001,1170627,22338,Broadcasting site South Terrace WINGFIELD,54,277600,6142200,34 50 17S,138 34 04E,SA,5272,ADELAIDE RA1,499,,Issued
AM,Cruise 1323,Adelaide,5DN,1323,Commercial,V,84,OD,,465,2000,4190001,1384941,22857,MF Broadcast Site Cavan Road GEPPS CROSS,54,279910,6141915,34 50 28S,138 35 35E,SA,4190,ADELAIDE RA1,499,,Issued
AM,FIVEaa,Adelaide,5AA,1395,Commercial,V,53,DA,,1200,5000,4189001,1384970,151018,Broadcast Site Burton Rd PARALOWIE,54,281002,6150995,34 45 34S,138 36 26E,SA,4189,ADELAIDE RA1,499,,Issued
AM,,Adelaide,,1539,HPON,V,53,DA,,1120,5000,10010279,1150803,151018,Broadcast Site Burton Rd PARALOWIE,54,281002,6150995,34 45 34S,138 36 26E,SA,,,,,Issued
AM,ABC South Coast,Albany,6AL,630,National,V,86,OD,,700,5000,10002330,1198477,28446,Gledhow Rd South ALBANY,50,574800,6125300,35 00 43S,117 49 11E,WA,,,,,Issued
AM,Radio West,Albany,6VA,783,Commercial,V,56,OD,,450,2000,10005909,1385051,28405,Broadcast Site cnr Cull & Cuming Rds ALBANY,50,577300,6125140,35 00 47S,117 50 50E,WA,10401,ALBANY RA1,487,,Issued
AM,2AY,Albury,2AY,1494,Commercial,V,53,OD,,450,2000,10005809,1385029,150923,Broadcast Site Corrys Rd THURGOONA,55,496703,6009804,36 03 22S,146 57 48E,NSW,10387,ALBURY RA1,363,,Issued
AM,ABC Radio National,Albury/Wodonga,3RN,990,National,V,42,OD,,225,500,10013955,1198447,153579,ABC Radio National Site 2km north of WODONGA,55,491120,6004554,36 06 12S,146 54 04E,VIC,,,,,Issued
AM,ABC Alice Springs,Alice Springs,8AL,783,National,V,46,OD,,440,2000,10003114,1150891,2467,Broadcast Site Lot 3697 South Stuart Hwy ALICE SPRINGS,53,384950,7370880,23 46 08S,133 52 15E,NT,,,,,Issued
AM,8HA,Alice Springs,8HA,900,Commercial,V,46,OD,,440,2000,10003118,1385025,2467,Broadcast Site Lot 3697 South Stuart Hwy ALICE SPRINGS,53,384950,7370880,23 46 08S,133 52 15E,NT,10232,ALICE SPRINGS RA1,493,,Issued
AM,ABC Radio National,Armidale,2RN,720,National,V,24,OD,,70,50,4005001,1198574,151332,Broadcast Site MACPHERSON RANGE,56,371739,6625326,30 29 50S,151 39 48E,NSW,,,,,Issued
AM,2AD,Armidale,2AD,1134,Commercial,V,50,DA,,680,2000,4105001,1384955,151326,Broadcast Site 7 km SW of ARMIDALE,56,365904,6619801,30 32 47S,151 36 07E,NSW,4105,ARMIDALE RA1,362,,Issued
AM,4AM,Atherton,4AM,558,Commercial,V,77,DA,,1100,5000,10007491,1385058,151774,Broadcast Site Cobra Creek 6 km SE of MAREEBA,55,337902,8116998,17 01 31S,145 28 37E,QLD,4167,ATHERTON RA1,445,,Issued
AM,ABC Far North Queensland,Atherton,4AT,720,National,V,136,OD,,715,4000,10007490,1198658,40447,Broadcast Site 3.8 km SW of Yungaburra ATHERTON,55,346400,8085400,17 18 41S,145 33 16E,QLD,,,,,Issued
AM,Sport 927,Ballarat,3BT,1314,Commercial,V,61,DA,,1100,5000,10003792,1385055,150827,Broadcast Site 7.3 km WSW of BALLARAT,54,745101,5841401,37 32 30S,143 46 27E,VIC,10365,BALLARAT RA1,427,,Issued
AM,2BS,Bathurst,2BS,1503,Commercial,V,104,DA,,1100,5000,10004208,1385031,151141,Broadcast Site EGLINTON,55,735904,6304498,33 22 22S,149 32 08E,NSW,10248,BATHURST RA1,364,,Issued
AM,2EC,Bega,2EC,765,Commercial,V,80,DA,,1147,5000,10013949,1384996,40569,Broadcast Site Kalaru 11 km SE of BEGA,55,762300,5929400,36 44 41S,149 56 16E,NSW,4107,BEGA RA1,367,,Issued
AM,ABC South East NSW,Bega,2BA,810,National,V,137,OD,,1200,10000,4006001,1198577,150877,Broadcast Site BEGA,55,751837,5933245,36 42 46S,149 49 10E,NSW,,,,,Issued
AM,,Bendigo,,945,HPON,V,78,OD,,450,2000,10004481,1153494,150878,Broadcast Site Myers Flat 3 km NW of EAGLEHAWK,55,251726,5933971,36 42 26S,144 13 14E,VIC,,,,,Issued
AM,Zinc 927,Biloela,4CC,666,Commercial,V,57,DA,,670,2000,4171002,1384950,151553,Broadcast Site Dawson Hwy BILOELA,56,245415,7299875,24 23 37S,150 29 23E,QLD,4171,ROCKHAMPTON RA1,456,,Issued
AM,SBS Radio,Bourke,2WEB,585,Community,V,90,DA,,1270,10000,10004346,1385121,137453,Radio 2WEB Site Mitchell St 3km E of BOURKE,55,401902,6669551,30 06 04S,145 58 54E,NSW,10211,BOURKE RA1,443,,Issued
AM,,Bowral,,1215,HPON,V,44,OD,,185,350,10008519,1170213,153477,Broadcast Site Moss Vale Sewage Complex MOSS VALE,56,257310,6174480,34 32 34S,150 21 19E,NSW,,,,,Issued
AM,Radio West,Bridgetown,6BY,900,Commercial,V,93,OD,,450,2000,10002332,1385066,27942,Broadcast Site Boronia Park 1847 Gommes Rd YORNUP,50,424074,6231032,34 03 30S,116 10 38E,WA,10072,BRIDGETOWN RA1,476,,Issued
AM,ABC South West,Bridgetown,6BR,1044,National,V,33,OD,,310,1000,10002333,1198490,27926,Broadcast Site BRIDGETOWN,50,418677,6246098,33 55 20S,116 07 12E,WA,,,,,Issued
AM,ABC Brisbane,Brisbane,4QR,612,National,V,198,OD,,2790,50000,4031001,1198655,12661,4QR Site BALD HILLS,56,501620,6978870,27 18 47S,153 00 59E,QLD,,,,,Issued
AM,4KQ,Brisbane,4KQ,693,Commercial,V,141,DA,,1100,5000,4165001,1385007,13410,Broadcast Site ST HELENA ISLAND,56,523200,6971200,27 22 56S,153 14 05E,QLD,4165,BRISBANE RA1,504,,Issued
AM,ABC Radio National,Brisbane,4RN,792,National,V,198,OD,,1975,25000,4030601,1198660,12661,4QR Site BALD HILLS,56,501620,6978870,27 18 47S,153 00 59E,QLD,,,,,Issued
AM,4BH,Brisbane,4BH,882,Commercial,V,69,DA,,885,5000,4162001,1385008,13419,Broadcast Planning Site Wynnum Rd Near Van Park WYNNUM WEST,56,514500,6962000,27 27 55S,153 08 48E,QLD,4162,BRISBANE RA1,504,,Issued
AM,ABC NewsRadio,Brisbane,4PB,936,National,V,81,OD,,1000,10000,2215001,1198665,12661,4QR Site BALD HILLS,56,501620,6978870,27 18 47S,153 00 59E,QLD,,,,,Issued
AM,Radio TAB,Brisbane,4TAB,1008,Commercial,V,141,DA,,2110,10000,10009963,1385006,13410,Broadcast Site ST HELENA ISLAND,56,523200,6971200,27 22 56S,153 14 05E,QLD,4164,BRISBANE RA1,504,,Issued
AM,,Brisbane,,1053,HPON,V,77,OD,,220,500,10009959,1170816,13352,4RPH Site Fleming Rd TINGALPA,56,512130,6962000,27 27 55S,153 07 21E,QLD,,,,,Issued
AM,4BC,Brisbane,4BC,1116,Commercial,V,0,DA,,1110,6300,10013948,1143919,402418,4BC South East Transmission Mast 273 Queens Rd NUDGEE,56,508836,6973640,27 21 37S,153 05 22E,QLD,4161,BRISBANE RA1,504,night-time,Issued
AM,4BC,Brisbane,4BC,1116,Commercial,V,0,DA,,1895,17000,10013948,1143919,402418,4BC South East Transmission Mast 273 Queens Rd NUDGEE,56,508836,6973640,27 21 37S,153 05 22E,QLD,4161,BRISBANE RA1,504,day-time,Issued
AM,Switch 1197,Brisbane,4BI,1197,Community,V,72,OD,,220,500,10009960,1170692,151436,4BI Site Meiers Rd LONG POCKET,56,499660,6956330,27 30 59S,152 59 47E,QLD,1150706,BRISBANE RA1,504,night-time,Issued
