Call Sign	On Air Id	Licensee
1ART	1ART	Artsound FM Inc.
	1CBR	Mix106.3 Canberra FM Radio Pty Ltd
1CMS	1CMS	Ethnic Broadcasting Council of the ACT and Surro
1RP	1RPH	Print Handicapped Radio of ACT Inc.
1WAY	1WAY	FM Canberra Christian Radio Ltd
1XXR	1XXR	Community Radio 2XX Inc.
2CA	2CA	Radio Canberra Pty Ltd
2CC	2CC	Radio Canberra Pty Ltd
	2ROC	FM104.7 Canberra FM Radio Pty Ltd
1VFM	1VFM	Valley FM Broadcasters Association Inc.
2AAY	2AAY	Radio Albury- Wodonga Pty Ltd
2AY	2AY	Radio Albury- Wodonga Pty Ltd
2BDR	2BDR	Goulburn and Border Broadcasters Pty Ltd
2APH	2APH	Vision Australia Foundation
2REM	2REM	Community Radio Albury/Wodonga Co-operative 
2AD	2AD	New England Broadcasters Pty Ltd
2NEB	2NEB	New England Broadcasters Pty Ltd
2ARM	2ARM	Armidale Community Radio Cooperative Ltd
	2PAR	Paradise F Paradise FM Community Radio Association Inc
	2BCR	BFM Bankstown City Radio Cooperative Ltd
		2 State FM Two State Community Radio Inc.
2BS	2BS	Bathurst Broadcasters Pty Ltd
2BXS	2BXS	Bathurst Broadcasters Pty Ltd
2MCE	2MCE	Charles Sturt University
2BCB	2BCB	Bathurst Christian Broadcasters Inc.
2EC	2EC	East Coast Radio Pty Ltd
2EEE	2EEE	East Coast Radio Pty Ltd
	2BAR	Edge FM Bega Access Radio Inc.
2BBB	2BBB	Bellinger Community Communications Co-operativ
	2SWR	SWR FM Blacktown City Community Radio SWR-FM Associ
2WEB	2WEB	WREB Cooperative Ltd
2CUZ	2CUZ	Muda Aboriginal Corporation
2WKT	2WKT	Highland Media Co-operative Ltd
2BH	2BH	Radio Outback Pty Ltd
2DRY	2DRY	Broken Hill Community FM Association Inc.
	2HIL	Hill FM Horizon Investments Australasia Pty Ltd
2RDJ	2RDJ	2RDJ-FM Community Radio Co-op Ltd
2BAY	2BAY	Bay FM Community Radio Inc.
	2MAC	C91.3 Campbelltown Radio Pty Ltd
2MCR	2MCR	Macarthur Community Radio Association Inc.
		COW FM Casinos Own Wireless Association Inc.
2CHR	2CHR	Central Hunter Community Broadcasters Inc.
2NSB	2NSB	Northside Broadcasting Co-op Ltd
2HOT	2HOT	Cobar Community Radio Inc.
2CFS	2CFS	Commercial Radio Coffs Harbour Pty Ltd
2CSF	2CSF	Commercial Radio Coffs Harbour Pty Ltd
	2HC	Easy Listeni AMI Radio Pty Ltd
2AIR	2AIR	Holiday Coast Community Radio Inc.
2CHY	2CHY	Community Media CHY Ltd
	2SKI	Snow FM Radio Snowy Mountains Pty Ltd
2XL	2XL	Radio Snowy Mountains Pty Ltd
	2RBR	88.9 FM Ric Community Radio Coraki Association Inc.
2CBD	2CBD	Deepwater & Districts Community FM Radio Inc.
2MOR	2MOR	Rich Rivers Radio Pty Ltd
2QN	2QN	Rich Rivers Radio Pty Ltd
2DBO	2DBO	Dubbo FM Radio Pty Ltd
2DU	2DU	Western Broadcasters Pty Ltd
2ZOO	2ZOO	Western Broadcasters Pty Ltd
2DCB	2DCB	Dubbo Christian Broadcasters Inc.
2GLA	2GLA	Great Lakes Area FM Community Radio Ltd
2CCC	2CCC	Central Coast Community FM Radio Association I
	2CCH	Hits N Coun Central Coast Broadcasters Ltd
2CFM	2CFM	SEA FM Central Coast Pty Ltd
2GGO	2GGO	Central Coast Radio Pty Ltd
	2GOS	104.5 Star F Gosford FM Radio Pty Ltd
	2SNR	Radio Five- Five-O-Plus Public Radio Association Inc.
2GN	2GN	Radio Goulburn Pty Ltd
	2SNO	Eagle FM Radio Goulburn Pty Ltd
2GCR	2GCR	Goulburn Community Radio Assoc Inc.
2CLR	2CLR	Grafton FM Pty Ltd
2GF	2GF	2GF AM Radio Pty Ltd
	2CVC	Rhema FM  Clarence Valley Christian Broadcasters Inc.
2RG	2RG	Radio 2RG Pty Ltd
2RGF	2RGF	Radio 2RG Pty Ltd
2MIA	2MIA	Griffith Community FM Association Inc.
2GGG	2GGG	2MO Gunnedah Pty Ltd
2MO	2MO	2MO Gunnedah Pty Ltd
2HAY	2HAY	Hay Community Radio Inc.
2HHH	2HHH	FM Ltd
2GEM	2GEM	Northern Broadcasters Pty Ltd
2NZ	2NZ	Northern Broadcasters Pty Ltd
2KRR	2KRR	Kandos Rylstone Community Radio Inc.
	2ONE	The Edge 9 Blue Mountains Broadcasters Pty Ltd
2BLU	2BLU	Blue Mountains Public Broadcasting Society Inc.
2NVR	2NVR	Radio Nambucca Inc.
2PM	2PM	AMI Radio Pty Ltd
2PQQ	2PQQ	Mid-Coast Broadcasters Pty Ltd
2ROX	2ROX	Mid-Coast Broadcasters Pty Ltd
2WAY	2WAY	Hastings Community FM Radio Association Inc.
	2WET	Tank Radio Macleay Valley Community FM Radio Association 
2MAQ	2MAQ	Lake Waves FM Community Radio Inc.
	2LRR	Opal FM Lightning Ridge Community Radio Inc.
2LM	2LM	Richmond River Broadcasters Pty Ltd
2ZZZ	2ZZZ	Richmond River Broadcasters Pty Ltd
2LT	2LT	Midwest Radio Ltd
	2ICE	Kiss FM Midwest Radio Ltd
2GLF	2GLF	Liverpool-Green Valley Community Radio Coop Lt
2TLC	2TLC	Lower Clarence Media Co-operative Society Ltd
2MWM	2MWM	Manly-Warringah Media Cooperative Ltd
	2MNO	Monaro FM Monaro Community Radio Inc.
2NOW	2NOW	Moree Broadcasting & Development Company Ltd
2VM	2VM	Moree Broadcasting & Development Company Ltd
2EAR	2EAR	Eurobodalla Access Radio Inc.
	2GEE	Real FM Mudgee Broadcasting Company Pty Ltd
2MG	2MG	Mudgee Broadcasting Company Pty Ltd
2MW	2MW	Tweed Radio & Broadcasting Company Pty Ltd
2GGZ	2GGZ	Mt Helen FM & TV Upper Hunter & Liverpool Plain
2NM	2NM	Radio Hunter Valley Pty Ltd
2VLY	2VLY	Radio Hunter Valley Pty Ltd
		Max FM Narrabri Shire Community Radio Inc.
2NBC	2NBC	Narwee Baptist Community Broadcasters Ltd
2HD	2HD	2HD Broadcasters Pty Ltd
2KKO	2KKO	Radio Newcastle Pty Ltd
2NEW	2NEW	Newcastle FM Pty Ltd
2XXX	2XXX	Radio Newcastle Pty Ltd
2NUR	2NUR	University of Newcastle
	2RFM	Rhema FM Newcastle Christian Broadcasters Ltd
	2NIM	FM 10 Nimbin Independent Media Inc.
2ST	2ST	South Coast & Tablelands Broadcasting Pty Ltd
	2WSK	Power FM South Coast & Tablelands Broadcasting Pty Ltd
2UUU	2UUU	Shoalhaven Community Radio Inc.
2CCB	2CCB	Canobolas Christian Broadcasters Association Inc
2EL	2EL	AMI Radio Pty Ltd
2GZF	2GZF	Radio 2GZ Pty Ltd
2OAG	2OAG	Radio 2GZ Pty Ltd
2OCB	2OCB	Orange Community Broadcasters Apple FM Inc.
2LVR	2LVR	Lachlan Valley Community Radio Inc.
2PK	2PK	Parkes Broadcasting Company Pty Ltd
2ROK	2ROK	Parkes Broadcasting Company Pty Ltd
2CCR	2CCR	Cumberland Media Association Inc.
		WOW FM Way Out West Fine Music Inc.
2PMQ	2PMQ	Mid North Coast Christian Broadcasters Inc.
	2PSR	Port Stephe Port Stephens FM Radio Inc.
2QBN	2QBN	Queanbeyan Community Radio Inc.
2RRR	2RRR	Ryde Regional Radio Cooperative Ltd
2SSR	2SSR	Sutherland Shire Community Radio Association In
		Daily Mail (UK Radio 1) Pty Ltd
2CBA	2CBA	Christian Broadcasting Association Ltd
2CH	2CH	Radio 2CH Pty Ltd
2DAY	2DAY	Today FM Sydney Pty Ltd
	2FBI	FBi Free Broadcast Inc.
2GB	2GB	Harbour Radio Pty Ltd
2KM	2KM	Labor Media Pty Ltd
2KY	2KY	2KY Broadcasters Pty Ltd
	2LND	Koori Radio Gadigal Information Service Aboriginal Corporatio
2MBS	2MBS	Music Broadcasting Society of New South Wales 
	2MFM	Muslim Co Muslim Community Radio Inc.
2MMM	2MMM	Triple M Sydney Pty Ltd
	2OOO	2000 Multicultural Community Radio Association Ltd
2RPH	2RPH	Radio for the Print Handicapped of NSW Cooperat
2SER	2SER	Sydney Educational Broadcasting Ltd
2SM	2SM	Radio 2SM Pty Ltd
	2SYD	NOVA FM Nova 96.9 Pty Ltd
2UE	2UE	Radio 2UE Sydney Pty Ltd
	2UUS	WSFM ARN Communications Pty Ltd
	2WFM	Mix106.5 Commonwealth Broadcasting Corporation Pty Ltd
2RSR	2RSR	Radio Skid Row Ltd
2TM	2TM	Tamworth Radio Development Company Pty Ltd
2TTT	2TTT	Tamworth Radio Development Company Pty Ltd
	2HIM	Radio Rhe Peel Valley Christian Broadcasters Inc.
2YOU	2YOU	Tamworth Broadcasting Society Inc.
	2MVB	Max FM Manning Valley Max The Heat FM Pty Ltd
2RE	2RE	Manning Valley Max The Heat FM Pty Ltd
2BOB	2BOB	Manning Media Cooperative Ltd
	2TLP	Ngarralinyi- Mid North Coast Indigenous Broadcasters Associa
2TEN	2TEN	Tenterfield & District Community FM Radio Associ
2WG	2WG	Riverina Broadcasters (Holdings) Pty Ltd
2WZD	2WZD	Riverina Broadcasters (Holdings) Pty Ltd
2AAA	2AAA	Wagga Wagga Community Media Inc.
	2WLF	Life FM Riverina Christian Radio Inc.
2RES	2RES	Radio Eastern Sydney Cooperative Ltd
2VTR	2VTR	Macquarie Towns Communications Cooperative 2UUL Wave FM Wollongong Broadcasters Pty Ltd
2VOX	2VOX	Illawarra Community FM Broadcasters Ltd
2WIN	2WIN	WIN Radio Pty Ltd
2LIV	2LIV	Living Sound Broadcasters Ltd
2YAS	2YAS	Yass Community Radio Association Inc.
2LF	2LF	Radio 2LF Pty Ltd
2LFF	2LFF	Radio 2LF Pty Ltd
		Ali-Curung Council Association Inc.
8HA	8HA	Alice Springs Commercial Broadcasters Pty Ltd
8SUN	8SUN	Alice Springs Commercial Broadcasters Pty Ltd
		Barunga-Manyallaluk Community Government Co
		Tiwi Islands Local Government
		Beswick/Wugularr Town Council
8MAB	8MAB	Mabunji Aboriginal Resource Association Inc.
		Gulin Gulin & Weemol Community Council
	8KIN	CAAMA Ra Central Australian Aboriginal Media Association
		Daguragu Community Government Council
8HOT	8HOT	Northern Territory Broadcasters Pty Ltd
8MIX	8MIX	Northern Territory Broadcasters Pty Ltd
8GGG	8GGG	Darwin Christian Broadcasters Association Inc.
8KNB	8KNB	Radio Larrakia Association Inc.
		Aputula Housing Association Inc.
		Galiwinku Community Inc.
		Ntaria Council Inc.
		Imanpa Council Inc.
8KTR	8KTR	Katherine Community Radio Inc.
		Walungurru Community Council
		Lajamanu Community Government Council
		Maningrida Council Inc.
		Tiwi Islands Local Government
		Milingimbi Community Council Inc.
		Minjilang Community Inc.
		Yugal Mangi Community Government Council
8EAR	8EAR	East Arnhem Community Radio Association Inc.
		Anmatjere Community Government Council
		Numbulwar Numburindi Council Inc.
		Kunbarllanjnja Community Government Council
		Nganmarriyanga Community Inc.
		Papunya Community Council Inc.
		Peppimenarti Community Council Inc.
		Anmatjere Community Government Council
		Tiwi Islands Local Government
		Ramingining Community Council Inc.
		Freshstrea W & L Phillips Pty Ltd
		Ltyentye Apurte Community Government Council
		Umbakumba Community Council Inc.
		Kardu Numida Inc.
		Warruwi Community Inc.
		Willowra Community Inc.
		Yirrkala Dhanbul Community Association Inc.
		Yuelamu Community Inc.
		Walpiri Media Association
4AM	4AM	Tablelands Broadcasting Pty Ltd
4AMM	4AMM	Tablelands Broadcasting Pty Ltd
		Aurukun Shire Council
		Badu Island Council
		Bamaga Island Council
	4BSR	Beau FM Beaudesert Community Radio Group Inc.
		Blackwater Community Broadcasters Association I
		Boigu Island Council
	4RIM	RIM FM Scenic Rim Broadcasting Association Inc.
4GEM	4GEM	Bowen Community Broadcasting Association Inc.
		Daily Mail (UK Radio 2) Pty Ltd
4AAA	4AAA	Brisbane Indigenous Media Association Inc.
4BBB	4BBB	Today FM Brisbane Pty Ltd
4BC	4BC	Radio 4BC Brisbane Pty Ltd
	4BFM	97.3 Brisbane FM Radio Pty Ltd
